timestamp,expiry,spot,risk_free_rate,strike,bid,ask,T,type,volume,open_interest
2026-08-27 02:17:00.799266+00:00,2026-09-02,766.0800170898438,0.04,802.0,0.02,0.03,0.016177676329718418,C,4,16
2026-08-27 02:17:00.799266+00:00,2026-09-02,766.0800170898438,0.04,803.0,0.02,0.03,0.016177676329718418,C,,100
2026-08-27 02:17:00.799266+00:00,2026-09-02,766.0800170898438,0.04,804.0,0.02,0.03,0.016177676329718418,C,1974,1059
2026-08-27 02:17:00.799266+00:00,2026-09-02,766.0800170898438,0.04,805.0,0.02,0.03,0.016177676329718418,C,1994,1091
2026-08-27 02:17:00.799266+00:00,2026-09-02,766.0800170898438,0.04,806.0,0.02,0.03,0.016177676329718418,C,,24
2026-08-27 02:17:00.799266+00:00,2026-09-02,766.0800170898438,0.04,808.0,0.02,0.03,0.016177676329718418,C,,12
2026-08-27 02:17:00.799266+00:00,2026-09-02,766.0800170898438,0.04,809.0,0.02,0.03,0.016177676329718418,C,5,152
2026-08-27 02:17:00.799266+00:00,2026-09-02,766.0800170898438,0.04,810.0,0.02,0.03,0.016177676329718418,C,10,85
2026-08-27 02:17:00.799266+00:00,2026-09-02,766.0800170898438,0.04,815.0,0.01,0.02,0.016177676329718418,C,24,24
2026-08-27 02:17:00.799266+00:00,2026-09-02,766.0800170898438,0.04,820.0,0.01,0.02,0.016177676329718418,C,,48
2026-08-27 02:17:00.799266+00:00,2026-09-02,766.0800170898438,0.04,825.0,0.01,0.02,0.016177676329718418,C,24,24
2026-08-27 02:17:00.799266+00:00,2026-09-02,766.0800170898438,0.04,835.0,0.01,0.02,0.016177676329718418,C,,49
2026-08-27 02:17:00.799266+00:00,2026-09-02,766.0800170898438,0.04,895.0,0.0,0.01,0.016177676329718418,C,754,2499
2026-08-27 02:17:00.799266+00:00,2026-09-02,766.0800170898438,0.04,900.0,0.0,0.01,0.016177676329718418,C,,528
2026-08-27 02:17:00.799266+00:00,2026-09-02,766.0800170898438,0.04,905.0,0.0,0.01,0.016177676329718418,C,,100
2026-08-27 02:17:00.799266+00:00,2026-09-02,766.0800170898438,0.04,910.0,0.0,0.01,0.016177676329718418,C,,408
2026-08-27 02:17:00.799266+00:00,2026-09-02,766.0800170898438,0.04,915.0,0.0,0.01,0.016177676329718418,C,,781
2026-08-27 02:17:00.799266+00:00,2026-09-02,766.0800170898438,0.04,510.0,0.0,0.01,0.016177676329718418,P,20,20
2026-08-27 02:17:00.799266+00:00,2026-09-02,766.0800170898438,0.04,555.0,0.0,0.01,0.016177676329718418,P,,1700
2026-08-27 02:17:00.799266+00:00,2026-09-02,766.0800170898438,0.04,560.0,0.0,0.01,0.016177676329718418,P,,1700
2026-08-27 02:17:00.799266+00:00,2026-09-02,766.0800170898438,0.04,590.0,0.0,0.01,0.016177676329718418,P,70,114
2026-08-27 02:17:00.799266+00:00,2026-09-02,766.0800170898438,0.04,615.0,0.0,0.01,0.016177676329718418,P,545,1
2026-08-27 02:17:00.799266+00:00,2026-09-02,766.0800170898438,0.04,620.0,0.0,0.01,0.016177676329718418,P,1000,80
2026-08-27 02:17:00.799266+00:00,2026-09-02,766.0800170898438,0.04,645.0,0.01,0.02,0.016177676329718418,P,24,24
2026-08-27 02:17:00.799266+00:00,2026-09-02,766.0800170898438,0.04,660.0,0.02,0.03,0.016177676329718418,P,6,6
2026-08-27 02:17:00.799266+00:00,2026-09-02,766.0800170898438,0.04,670.0,0.02,0.03,0.016177676329718418,P,24,130
2026-08-27 02:17:00.799266+00:00,2026-09-02,766.0800170898438,0.04,680.0,0.03,0.04,0.016177676329718418,P,5,3
2026-08-27 02:17:00.799266+00:00,2026-09-02,766.0800170898438,0.04,685.0,0.03,0.04,0.016177676329718418,P,3,2
2026-08-27 02:17:00.799266+00:00,2026-09-02,766.0800170898438,0.04,690.0,0.03,0.04,0.016177676329718418,P,7,6
2026-08-27 02:17:00.799266+00:00,2026-09-02,766.0800170898438,0.04,695.0,0.04,0.05,0.016177676329718418,P,1,99
